id;nombre;descripcion
1;Ventas;Gestión de ventas y atención al cliente
2;Compras;Adquisición de productos y servicios
3;Logística;Coordinación de envíos y almacenes
4;Finanzas;Administración de recursos financieros
5;Recursos Humanos;Gestión de personal y nómina
6;Marketing;Promoción y posicionamiento de la marca
7;Tecnología;Desarrollo y mantenimiento de sistemas
8;Legal;Asesoría y cumplimiento normativo
9;Atención al Cliente;Soporte y resolución de incidencias
10;Producción;Supervisión de procesos productivos

